Age,Work_class,Education,Experience,Marital_status,Occupation,Relationship,Race,Gender,Hours_per_week,High_Income
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,60,1
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,55,1
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,60,0
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40,1
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40,0
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40,0
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,48,0
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40,0
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40,0
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40,0
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,45,1
29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,58,0
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40,0
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40,1
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50,1
19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,32,0
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,40,0
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,70,1
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,40,0
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20,0
27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40,0
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,0
18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,22,0
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,40,0
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,30,0
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,40,0
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,40,0
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,48,0
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,40,1
53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,35,0
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40,1
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50,0
30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,40,0
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,50,1
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,0
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40,0
28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,25,0
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35,0
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40,1
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,50,0
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60,1
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,48,1
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,40,0
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,40,0
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40,1
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60,1
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50,0
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40,0
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40,0
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,1
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,40,0
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40,0
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40,0
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,40,0
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,1
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50,1
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25,0
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40,0
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50,0
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50,0
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40,1
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,56,0
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,41,0
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,40,0
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60,0
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,40,0
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50,1
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,35,0
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40,1
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,28,0
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,1
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40,0
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,60,0
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40,0
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35,0
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50,0
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,36,0
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,1
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60,0
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,35,0
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,20,0
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40,1
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,40,0
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,30,0
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,40,1
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,40,0
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,30,0
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,24,0
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,24,0
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,38,0
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40,0
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40,0
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,35,0
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,46,0
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,40,0
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,2,0
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60,0
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,50,0
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,40,0
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40,0
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40,0
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40,1
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,40,0
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,42,0
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,40,0
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,16,0
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,20,0
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40,0
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40,0
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40,1
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,50,0
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,1
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,25,0
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40,0
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40,0
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,12,0
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,65,0
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38,1
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40,0
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,45,0
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40,1
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,42,1
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40,0
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,40,0
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50,0
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,1,1
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28,0
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40,0
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,40,0
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,45,0
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,24,0
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40,0
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40,0
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,55,1
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40,1
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,40,0
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,40,0
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50,1
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,40,0
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,35,0
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,40,0
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,36,1
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60,0
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,35,1
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,12,0
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,40,0
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,1
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40,0
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40,0
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40,1
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,60,1
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,40,0
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50,0
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,55,0
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,40,0
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40,0
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,40,0
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20,0
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,35,0
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,40,0
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,50,0
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,20,0
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40,0
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,40,0
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,38,0
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,42,0
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,40,0
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,55,1
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40,0
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,38,0
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50,1
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,70,1
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40,0
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,1
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,20,0
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,50,0
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40,0
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,35,0
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,45,1
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,34,0
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,60,1
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,0
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,40,1
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40,0
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,30,0
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,40,0
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,20,0
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40,1
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,40,0
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,30,0
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,45,0
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,40,0
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,40,0
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,60,0
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,12,0
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40,0
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,75,1
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40,1
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,45,0
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,40,1
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40,1
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,24,0
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,98,0
27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,35,0
30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female,40,0
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40,0
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40,1
35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,40,0
25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40,0
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,48,1
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,15,0
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40,1
34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,45,0
60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,42,0
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,40,0
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40,1
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60,1
50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,45,0
25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40,0
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45,0
31, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,40,0
29, Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,56,0
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,45,0
27, Private, Bachelors,13, Never-married, Tech-support, Unmarried, Black, Female,40,0
65, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,16,0
37, Self-emp-inc, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,60,0
24, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40,0
38, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,80,0
48, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,1
21, Private, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,25,0
31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,45,1
55, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40,1
24, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,40,0
43, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40,0
26, Private, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, Male,45,0
46, Private, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,33,0
35, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,1
41, Self-emp-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,54,1
26, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,40,0
34, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,35,1
36, Self-emp-not-inc, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Black, Female,40,1
22, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,15,0
24, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,40,0
77, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40,0
22, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,40,0
29, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,40,0
62, Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,24,0
39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40,0
43, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,50,0
35, Private, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,45,0
29, Private, 11th,7, Never-married, Exec-managerial, Not-in-family, White, Female,40,0
76, Self-emp-not-inc, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,10,0
63, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,45,0
43, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,50,1
58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40,0
66, Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,55,0
41, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,45,0
26, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40,0
47, Private, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,40,0
55, Local-gov, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,40,0
53, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40,0
17, Private, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,48,0
30, Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,40,0
49, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,60,0
19, Private, HS-grad,9, Never-married, Sales, Unmarried, Black, Male,30,0
